ticker,date,target,future_return,adj_close_mean,adj_close_std,adj_close_last,rsi_14_mean,rsi_14_std,rsi_14_last,macd_mean,macd_std,macd_last,macd_signal_mean,macd_signal_std,macd_signal_last,macd_hist_mean,macd_hist_std,macd_hist_last,bb_width_mean,bb_width_std,bb_width_last,ma_50_mean,ma_50_std,ma_50_last,ma_200_mean,ma_200_std,ma_200_last,volume_z_mean,volume_z_std,volume_z_last,atr_14_mean,atr_14_std,atr_14_last,atr_pct_mean,atr_pct_std,atr_pct_last,ten_year_yield_mean,ten_year_yield_std,ten_year_yield_last,sent_neg_mean_mean,sent_neg_mean_std,sent_neg_mean_last,sent_neu_mean_mean,sent_neu_mean_std,sent_neu_mean_last,sent_pos_mean_mean,sent_pos_mean_std,sent_pos_mean_last,sentiment_momentum_mean,sentiment_momentum_std,sentiment_momentum_last,bb_high_mean,bb_high_std,bb_high_last,bb_low_mean,bb_low_std,bb_low_last
CRSP,2020-02-06,1,0.06975882519966592,55.31000001089914,2.5015844534398703,54.84000015258789,30.856049523120987,6.7616717194230604,42.33837586483116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23015312412686056,0.014271745393008312,0.23154973016445582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9640861113160681,1.0684216942830531,2.340752981946577,3.61307742574587,1.9649615727290235,4.268331465050365,1.6707142857142856,0.10432672684439943,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.57784606536302,0.241495928180052,63.19409388580403,51.357754367986594,0.9205102992340084,50.49590664825359
SMCI,2020-02-06,0,0.015215846854616855,2.8788571698325023,0.034473771368915385,2.946000099182129,74.765837044485,5.843099443742491,72.75457536118964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29831325036993933,0.041794142587759646,0.23838468436993945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0799403279176546,0.04376530962518037,0.09152583855759869,2.7729971315886783,1.518654985195066,3.106783281609806,1.6707142857142856,0.10432672684439943,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1675012446919295,0.011380656873138774,3.1477906682065018,2.309738774152675,0.0970180197594166,2.4455093644091597
SMCI,2020-02-07,0,0.01705986547481042,2.8763571637017384,0.037041803953146,2.8259999752044678,73.37496868548395,7.365608434091173,58.07541673647269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28042555729056146,0.057595292046563336,0.19098709189367213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08683234789010473,0.037332816841534264,0.09648827961430166,3.0168761136453384,1.2970722882710068,3.4143057487932396,1.6592857142857143,0.09635385790961322,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.154995166819285,0.03228044893168507,3.0924647774560645,2.350238188543925,0.1317998950023703,2.5527352605001736
CRSP,2020-02-07,1,0.06651375310655028,54.931428636823384,2.177588316929684,54.33000183105469,31.65609535720309,7.017456965233181,40.456599532106196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22779980657277546,0.014006241262825432,0.21603321880234996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1292074729141075,0.9081389902468064,2.311699062372547,3.9170004075847125,1.6700628480146427,4.254921745743793,1.6592857142857143,0.09635385790961322,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.365462222163664,0.5632917607908164,62.303543006166855,51.22587161216658,0.8844375254888196,50.56645783306654
CRSP,2020-02-10,0,-0.016425297116211435,54.50214276994978,2.0443888272344166,52.31999969482422,31.839156147060773,6.751046093520706,34.03588562535299,-1.6480097307960975,0.0,-1.6480097307960975,0.0,0.0,0.0,0.0,0.0,0.0,0.22563029784718885,0.014015219300216843,0.212613245493669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2967181382449096,0.6703375973332858,2.3451493146312323,4.237166054197615,1.234131189626331,4.482319052580628,1.6414285714285712,0.08244878530216314,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.10153373295973,0.8671922537937989,61.51796279773614,51.107038218770185,0.8664339221468145,50.39403785839179
SMCI,2020-02-10,0,-0.05427687792714908,2.868357164519174,0.04928817702256974,2.755000114440918,71.68918741782623,9.309958766915862,51.45981220593329,0.08994276771397391,0.0,0.08994276771397391,0.0,0.0,0.0,0.0,0.0,0.0,0.2555100829501804,0.08431971350866933,0.1060172369078941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0953953461542958,0.02861479160472965,0.11988197569867527,3.3276927346431497,1.0075925972935917,4.351432693969356,1.6414285714285712,0.08244878530216314,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1314799684086734,0.06884117987604237,2.990388777945004,2.3999629156277993,0.17828025592819788,2.6983112781310457
CRSP,2020-02-11,0,0.019473694918448414,54.39499991280692,1.8722580161697104,56.619998931884766,33.25758736347376,8.38081075267759,51.69719317684257,-1.4961673894377654,0.21473749849143836,-1.3443250480794333,0.0,0.0,0.0,0.0,0.0,0.0,0.22070911398126222,0.01902918460893081,0.1862608269197759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4766004930814893,0.11190069640580733,2.518352967712121,4.554867146090927,0.19170459383673252,4.447815286506382,1.6257142857142857,0.07459782278883989,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.846972529963395,1.0784256494811797,61.0650441089891,51.03352797739134,0.8286699120177504,50.518956287739414
SMCI,2020-02-11,0,-0.04932731664282619,2.8720714535032,0.05047385412223995,2.9110000133514404,70.98036213229881,9.329633700631344,61.765633420442576,0.08966671434351037,0.0003903984204483526,0.08939066097304682,0.0,0.0,0.0,0.0,0.0,0.0,0.23225585095702264,0.10207938481554035,0.06947622700491822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10428037560236118,0.009921659278067202,0.1243904122729154,3.6329153181991023,0.36312658588669805,4.273116169783334,1.6257142857142857,0.07459782278883989,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.110116557257127,0.08782514047651223,2.9605726791963054,2.444758473856497,0.20807795654379788,2.7583273814573808
SMCI,2020-02-12,0,-0.040633618710406716,2.8712857280458723,0.049920589179119214,2.8989999294281006,69.3177216937255,8.8999152360501,60.69805309193626,0.08877185291850243,0.0015743368042595014,0.08698213006848654,0.0,0.0,0.0,0.0,0.0,0.0,0.2143049131035693,0.10962573252729556,0.0706974102759431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10498994171000067,0.011009809861250103,0.12450537764776086,3.658458657941359,0.3971574222612535,4.294769944072494,1.6128571428571425,0.06231786648719996,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.093917597225225,0.09545027575806528,2.9643259169700076,2.479715768935697,0.22109385747415233,2.759374129569299
CRSP,2020-02-12,0,-0.017142886207217267,54.29428563799177,1.6662566266410397,57.0,34.138772540157554,9.745249662970469,52.89741355105947,-1.351032271048967,0.2936812973247902,-1.0607620342713702,0.0,0.0,0.0,0.0,0.0,0.0,0.21606960840539105,0.02259582353926342,0.17895356379842162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4758126912373997,0.11113181187088697,2.571756244327829,4.561298028227639,0.1883793915222104,4.511853060224261,1.6128571428571425,0.06231786648719996,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.61871743582257,1.2192334223960934,60.792676682695934,50.98450526281296,0.7889779046968106,50.5923235461859
SMCI,2020-02-13,0,-0.03311259323795368,2.873071449143546,0.05065943755698502,2.9040000438690186,68.01887814292225,8.673203542878637,61.00053033708018,0.08770457084226468,0.00249173066425675,0.08450272461355146,0.0,0.0,0.0,0.0,0.0,0.0,0.19943261382561586,0.1135532599367366,0.0655819203240344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10573045855915318,0.01176493718395052,0.1213264336818232,3.6815886019008923,0.41829400955917184,4.177907432817363,1.6042857142857143,0.05064420169017536,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0808933346519805,0.09896849585164817,2.9636749714927797,2.5090666992416044,0.22817948354223413,2.7732250719947693
CRSP,2020-02-13,0,-0.08757743025001163,54.378571374075754,1.813559504331222,57.75,35.913988966996286,11.172369351208694,55.2602998571514,-1.204944144237544,0.3779763212777527,-0.7666797638032747,0.0,0.0,0.0,0.0,0.0,0.0,0.21130150409828935,0.02609960325974842,0.16838856533437374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472173018708056,0.10885723212694612,2.5123452039091836,4.54838230704232,0.1966200889715915,4.350381305470448,1.6042857142857143,0.05064420169017536,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.40266768456153,1.3372116785019352,60.45821992321217,50.959432764046866,0.748069054320815,50.733780275152085
SMCI,2020-02-14,0,-0.03818704881709667,2.8712857280458723,0.050304342481451214,2.86899995803833,66.4381832174823,8.375275066439178,57.65554968792387,0.08592468603992894,0.004527305028968882,0.07880514683058593,0.0,0.0,0.0,0.0,0.0,0.0,0.1866164357877598,0.11580892527138102,0.05845465540919959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10651502039564052,0.0122654093600619,0.11873169114361959,3.7112521375964325,0.4358255570155692,4.138434746607735,1.5978571428571429,0.0426395575508455,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0696533244615676,0.10101981475884063,2.9572532225574344,2.5345648919143033,0.2324027219374929,2.7895468186412957
CRSP,2020-02-14,0,-0.06881720797654578,54.619285583496094,2.0719015662372366,58.119998931884766,38.229400556565516,11.85292669943712,56.4217270110375,-1.063559465571366,0.4550798956147031,-0.49802075090665454,0.0,0.0,0.0,0.0,0.0,0.0,0.20668244454440005,0.029116373127001577,0.160491849005507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4762882297778472,0.11504399173407395,2.659320524688829,4.535781698567843,0.18803401940571454,4.575568777634508,1.5978571428571429,0.0426395575508455,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.201324533555926,1.4336147581673606,60.18789302349995,50.95040314283567,0.7103122226743601,50.860106930723674
SMCI,2020-02-18,0,-0.04213582861367604,2.8663571562085832,0.053606258255393564,2.802000045776367,64.69853954704983,8.723909047638834,51.79985589457613,0.08295364601929633,0.00832824504235225,0.06809844591613334,0.0,0.0,0.0,0.0,0.0,0.0,0.17638037675116716,0.1159732034615221,0.06378372734864837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10726905288891406,0.012546531949912352,0.11646515117672217,3.7446512528312796,0.45161259224164707,4.156500687866779,1.5964285714285715,0.04253634515729645,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.060499799365752,0.10140374594157996,2.959811023311776,2.5551085689515345,0.23273470725646622,2.7810890163610757
CRSP,2020-02-18,0,-0.10414795080061034,54.777142660958425,2.071637805049916,55.79999923706055,40.160208602341456,10.996786830769743,48.0064133567691,-0.9641209997867364,0.47434820541428957,-0.466928670863588,0.0,0.0,0.0,0.0,0.0,0.0,0.20221827883780485,0.03177796578089912,0.15311245606525767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4851605067088243,0.13013946215919422,2.7365117631945934,4.537891681950346,0.19224703471162174,4.9041430118463,1.5964285714285715,0.04253634515729645,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.9849089350406,1.5589864608838666,59.604337351372,50.95959141591154,0.6780036573114899,51.06066241974616
